symbol,timestamp,observed_utc,n_options,call_oi,put_oi,put_call_oi_ratio,oi_weighted_mark_iv,underlying_price,historical_volatility
SOL-HISTVOL,2026-08-20T10:00:00Z,,,,,,,,40.61044663894563
BTC-HISTVOL,2026-08-20T11:00:00Z,,,,,,,,31.742156125965
ETH-HISTVOL,2026-08-20T11:00:00Z,,,,,,,,50.7072473202494
SOL-HISTVOL,2026-08-20T11:00:00Z,,,,,,,,40.618567598281714
BTC-HISTVOL,2026-08-20T12:00:00Z,,,,,,,,31.763889908207894
ETH-HISTVOL,2026-08-20T12:00:00Z,,,,,,,,50.72865267612171
SOL-HISTVOL,2026-08-20T12:00:00Z,,,,,,,,40.60683986335535
BTC-HISTVOL,2026-08-20T13:00:00Z,,,,,,,,31.766856214782862
ETH-HISTVOL,2026-08-20T13:00:00Z,,,,,,,,50.77084559147995
SOL-HISTVOL,2026-08-20T13:00:00Z,,,,,,,,40.6193968376236
BTC-HISTVOL,2026-08-20T14:00:00Z,,,,,,,,31.70505301840609
ETH-HISTVOL,2026-08-20T14:00:00Z,,,,,,,,50.75142323695024
SOL-HISTVOL,2026-08-20T14:00:00Z,,,,,,,,40.58174516181418
BTC-HISTVOL,2026-08-20T15:00:00Z,,,,,,,,31.752943597807292
ETH-HISTVOL,2026-08-20T15:00:00Z,,,,,,,,50.834511532967774
SOL-HISTVOL,2026-08-20T15:00:00Z,,,,,,,,40.68286209127045
BTC-HISTVOL,2026-08-20T16:00:00Z,,,,,,,,31.762305742713547
ETH-HISTVOL,2026-08-20T16:00:00Z,,,,,,,,50.84218862329972
SOL-HISTVOL,2026-08-20T16:00:00Z,,,,,,,,40.68384844492103
BTC-HISTVOL,2026-08-20T17:00:00Z,,,,,,,,32.07435961298086
ETH-HISTVOL,2026-08-20T17:00:00Z,,,,,,,,51.78304007583842
SOL-HISTVOL,2026-08-20T17:00:00Z,,,,,,,,40.9197496550229
BTC-HISTVOL,2026-08-20T18:00:00Z,,,,,,,,32.10964783500382
ETH-HISTVOL,2026-08-20T18:00:00Z,,,,,,,,51.60953493461565
SOL-HISTVOL,2026-08-20T18:00:00Z,,,,,,,,40.92222122016069
BTC-HISTVOL,2026-08-20T19:00:00Z,,,,,,,,32.10847253053691
ETH-HISTVOL,2026-08-20T19:00:00Z,,,,,,,,51.3299703828604
SOL-HISTVOL,2026-08-20T19:00:00Z,,,,,,,,40.90984469724894
BTC-HISTVOL,2026-08-20T20:00:00Z,,,,,,,,32.175153817911735
ETH-HISTVOL,2026-08-20T20:00:00Z,,,,,,,,51.657108709963474
SOL-HISTVOL,2026-08-20T20:00:00Z,,,,,,,,41.05133570167427
BTC-HISTVOL,2026-08-20T21:00:00Z,,,,,,,,32.2050612681859
ETH-HISTVOL,2026-08-20T21:00:00Z,,,,,,,,51.6723358661425
SOL-HISTVOL,2026-08-20T21:00:00Z,,,,,,,,41.1094255177672
BTC-HISTVOL,2026-08-20T22:00:00Z,,,,,,,,32.20579802801364
ETH-HISTVOL,2026-08-20T22:00:00Z,,,,,,,,51.67925758193628
SOL-HISTVOL,2026-08-20T22:00:00Z,,,,,,,,41.14209888558508
BTC-HISTVOL,2026-08-20T23:00:00Z,,,,,,,,32.19877703526479
ETH-HISTVOL,2026-08-20T23:00:00Z,,,,,,,,51.63174260330539
SOL-HISTVOL,2026-08-20T23:00:00Z,,,,,,,,41.1076161140011
BTC-HISTVOL,2026-08-21T00:00:00Z,,,,,,,,32.19452204125326
ETH-HISTVOL,2026-08-21T00:00:00Z,,,,,,,,51.63847987496701
SOL-HISTVOL,2026-08-21T00:00:00Z,,,,,,,,41.12955968344882
BTC-HISTVOL,2026-08-21T01:00:00Z,,,,,,,,32.27828271777052
ETH-HISTVOL,2026-08-21T01:00:00Z,,,,,,,,51.70652577378176
SOL-HISTVOL,2026-08-21T01:00:00Z,,,,,,,,41.19935932538854
BTC-HISTVOL,2026-08-21T02:00:00Z,,,,,,,,32.59846599033904
ETH-HISTVOL,2026-08-21T02:00:00Z,,,,,,,,51.78494032604635
SOL-HISTVOL,2026-08-21T02:00:00Z,,,,,,,,41.32622128784257
BTC-HISTVOL,2026-08-21T03:00:00Z,,,,,,,,33.93401377492383
ETH-HISTVOL,2026-08-21T03:00:00Z,,,,,,,,51.92272150295535
SOL-HISTVOL,2026-08-21T03:00:00Z,,,,,,,,41.48624812748214
BTC-HISTVOL,2026-08-21T04:00:00Z,,,,,,,,34.24528344578705
