symbol,timestamp,funding_rate,funding_interval_hours
BTCUSDT,2020-01-22T00:00:00Z,0.0001,8
ETHUSDT,2020-01-22T00:00:00Z,0.0001535,8
BTCUSDT,2020-01-22T08:00:00Z,0.00021392,8
ETHUSDT,2020-01-22T08:00:00Z,0.0001,8
BTCUSDT,2020-01-22T16:00:00Z,0.0001,8
ETHUSDT,2020-01-22T16:00:00Z,0.0001,8
BTCUSDT,2020-01-23T00:00:00Z,0.0001,8
ETHUSDT,2020-01-23T00:00:00Z,0.0001,8
BTCUSDT,2020-01-23T08:00:00Z,0.0001,8
ETHUSDT,2020-01-23T08:00:00Z,0.0001,8
BTCUSDT,2020-01-23T16:00:00Z,0.00052304,8
ETHUSDT,2020-01-23T16:00:00Z,0.00021994,8
BTCUSDT,2020-01-24T00:00:00Z,0.00054719,8
ETHUSDT,2020-01-24T00:00:00Z,0.00017114,8
BTCUSDT,2020-01-24T08:00:00Z,0.00042124,8
ETHUSDT,2020-01-24T08:00:00Z,0.00017748,8
BTCUSDT,2020-01-24T16:00:00Z,0.00017948,8
ETHUSDT,2020-01-24T16:00:00Z,0.00025923,8
BTCUSDT,2020-01-25T00:00:00Z,0.0001,8
ETHUSDT,2020-01-25T00:00:00Z,0.0001,8
BTCUSDT,2020-01-25T08:00:00Z,0.0001,8
ETHUSDT,2020-01-25T08:00:00Z,0.0001,8
BTCUSDT,2020-01-25T16:00:00Z,0.0001,8
ETHUSDT,2020-01-25T16:00:00Z,0.00027793,8
BTCUSDT,2020-01-26T00:00:00Z,0.0001,8
ETHUSDT,2020-01-26T00:00:00Z,0.00031959,8
BTCUSDT,2020-01-26T08:00:00Z,0.0001,8
ETHUSDT,2020-01-26T08:00:00Z,0.00026387,8
BTCUSDT,2020-01-26T16:00:00Z,0.0001,8
ETHUSDT,2020-01-26T16:00:00Z,0.0001,8
BTCUSDT,2020-01-27T00:00:00Z,0.0001,8
ETHUSDT,2020-01-27T00:00:00Z,0.0001,8
BTCUSDT,2020-01-27T08:00:00Z,0.0001,8
ETHUSDT,2020-01-27T08:00:00Z,0.0001,8
BTCUSDT,2020-01-27T16:00:00Z,0.0001,8
ETHUSDT,2020-01-27T16:00:00Z,0.0001,8
BTCUSDT,2020-01-28T00:00:00Z,0.0001,8
ETHUSDT,2020-01-28T00:00:00Z,0.00010167,8
BTCUSDT,2020-01-28T08:00:00Z,0.00068689,8
ETHUSDT,2020-01-28T08:00:00Z,0.00049212,8
BTCUSDT,2020-01-28T16:00:00Z,0.00054394,8
ETHUSDT,2020-01-28T16:00:00Z,0.00091788,8
BTCUSDT,2020-01-29T00:00:00Z,0.00062324,8
ETHUSDT,2020-01-29T00:00:00Z,0.00122251,8
BTCUSDT,2020-01-29T08:00:00Z,0.00108193,8
ETHUSDT,2020-01-29T08:00:00Z,0.0010613,8
BTCUSDT,2020-01-29T16:00:00Z,0.00053694,8
ETHUSDT,2020-01-29T16:00:00Z,0.00055576,8
BTCUSDT,2020-01-30T00:00:00Z,0.000236,8
ETHUSDT,2020-01-30T00:00:00Z,0.00054882,8
BTCUSDT,2020-01-30T08:00:00Z,0.00024877,8
ETHUSDT,2020-01-30T08:00:00Z,0.00049058,8
BTCUSDT,2020-01-30T16:00:00Z,0.00034852,8
ETHUSDT,2020-01-30T16:00:00Z,0.00054951,8
BTCUSDT,2020-01-31T00:00:00Z,0.00053551,8
ETHUSDT,2020-01-31T00:00:00Z,0.00082589,8
BTCUSDT,2020-01-31T08:00:00Z,0.00077154,8
ETHUSDT,2020-01-31T08:00:00Z,0.00132017,8
