symbol,timestamp,observed_utc,openInterest,markPrice,indexPrice,fundingRate,fundingRatePrediction,bid,ask,bidSize,askSize,vol24h
PF_BANANAUSD,2026-09-01T00:00:00Z,2026-09-01T02:41:53Z,2833.8,3.88683998979,3.8902,-0.0003458747692624,-0.0004323721078629,3.875,3.9,2979.4,280.0,2272.2
PF_BANDUSD,2026-09-01T00:00:00Z,2026-09-01T02:41:53Z,139874.9,0.18005099666,0.18055,-5.2439446445333e-05,-5.9840370117208e-05,0.1797,0.1806,9994.5,20281.5,29604.1
PF_BATUSD,2026-09-01T00:00:00Z,2026-09-01T02:41:53Z,1096237.0,0.0688009402,0.06887,-7.141438105267e-06,-8.137173292458e-06,0.06858,0.06902,25163.0,24000.0,66375.0
PF_BBUSD,2026-09-01T00:00:00Z,2026-09-01T02:41:53Z,3093095.0,0.00944404024,0.00939,-1.95344184e-06,5.177954867125e-06,0.00936,0.009416,77704.0,44400.0,1566337.0
PF_BCHUSD,2026-09-01T00:00:00Z,2026-09-01T02:41:53Z,3597.54,247.04044493126,247.037,0.0032699783338875,0.003326973200625,246.92,247.17,2.43,9.24,2553.72
PF_BELUSD,2026-09-01T00:00:00Z,2026-09-01T02:41:53Z,35995.0,0.117344566,0.117254,1.31585551812e-05,1.14555174687e-05,0.11693,0.11734,10924.0,1060.0,0.0
PF_BERAUSD,2026-09-01T00:00:00Z,2026-09-01T02:41:53Z,271439.3,0.18540122914,0.1864,1.550650545e-05,-6.334201928e-05,0.1855,0.1858,9100.0,8070.6,188400.9
PF_BICOUSD,2026-09-01T00:00:00Z,2026-09-01T02:41:53Z,2006666.0,0.02240396591,0.022421,-2.346210112458e-06,-1.038689043783e-06,0.02234,0.02246,2119.0,37896.0,14737523.0
PF_BIGTIMEUSD,2026-09-01T00:00:00Z,2026-09-01T02:41:53Z,581787.0,0.00656564047,0.0065747,-1.603066135525e-06,-1.385489939332e-06,0.006538,0.00659,198564.0,180000.0,718199.0
PF_BIOUSD,2026-09-01T00:00:00Z,2026-09-01T02:41:53Z,772178.0,0.02638600915,0.0263512,6.4640182789e-06,4.673369287639e-06,0.02629,0.02649,136474.0,395157.0,28712.0
PF_BLURUSD,2026-09-01T00:00:00Z,2026-09-01T02:41:53Z,695019.0,0.01565999886,0.015659,2.188022072746e-06,-2.195566332604e-06,0.01562,0.0157,96001.0,96000.0,890362.0
PF_BNBUSD,2026-09-01T00:00:00Z,2026-09-01T02:41:53Z,2814.3,690.94904296423,690.855,-0.00419426069085,0.0033882100665,690.8,690.97,0.18,0.18,857.27
PF_BOMEUSD,2026-09-01T00:00:00Z,2026-09-01T02:41:53Z,126953434.0,0.00087060958,0.00087083,-2.5737261238e-08,-4.2238874536e-08,0.0008698,0.0008716,49710.0,49710.0,39002196.0
PF_BONKUSD,2026-09-01T00:00:00Z,2026-09-01T02:41:53Z,51457527000.0,3.00365e-06,3.0052e-06,3.9392712e-11,-1.40104206e-10,2.998e-06,3.011e-06,959610000.0,2875330000.0,25366575000.0
PF_BRENTOILUSD,2026-09-01T00:00:00Z,2026-09-01T02:41:53Z,195.9,91.18243940799,91.19073,0.000244732734735,0.0008052736864593,91.065,91.283,48.7,6.5,257.4
PF_BRETTUSD,2026-09-01T00:00:00Z,2026-09-01T02:41:53Z,6670821.0,0.00506854913,0.0050614,1.03173552166e-06,8.95422780213e-07,0.005049,0.005088,300000.0,2052778.0,3319924.0
PF_C98USD,2026-09-01T00:00:00Z,2026-09-01T02:41:53Z,783753.0,0.01482526608,0.014833,-1.100268975621e-06,-1.150754055875e-06,0.01478,0.01487,115531.0,110000.0,222110.0
PF_CAKEUSD,2026-09-01T00:00:00Z,2026-09-01T02:41:53Z,13953.0,1.85750352737,1.85079,0.0008739195855118,0.001088950646642,1.8436,1.8708,11.0,1604.0,17552.0
PF_CATIUSD,2026-09-01T00:00:00Z,2026-09-01T02:41:53Z,36730.0,0.05509521054,0.055164,-9.179385158829e-06,-7.960555903667e-06,0.05499,0.05529,4769.0,20000.0,48667.0
PF_CELOUSD,2026-09-01T00:00:00Z,2026-09-01T02:41:53Z,68515.0,0.07420028804,0.074318,-9.00991075075e-06,-1.3647775354162e-05,0.07394,0.07444,14565.0,142530.0,8945.0
PF_CELRUSD,2026-09-01T00:00:00Z,2026-09-01T02:41:53Z,1593912.0,0.00233959067,0.0023465,-6.20577187587e-07,-7.3421988624e-07,0.002331,0.002349,1334994.0,770000.0,27400.0
PF_CETUSUSD,2026-09-01T00:00:00Z,2026-09-01T02:41:53Z,438084.0,0.02312198771,0.023175,-4.865189435775e-06,-6.194422730008e-06,0.02305,0.0232,92194.0,90300.0,206553.0
PF_CFGUSD,2026-09-01T00:00:00Z,2026-09-01T02:41:53Z,93040.0,0.10792913684,0.108147,-3.6512806533825e-05,-2.97102664066e-05,0.10785,0.10801,31460.0,53230.0,73130.0
PF_CFXUSD,2026-09-01T00:00:00Z,2026-09-01T02:41:53Z,1471725.0,0.04608400764,0.046077,-7.84199025175e-07,-9.7568337335e-07,0.04606,0.04614,1037.0,1034.0,55264.0
PF_CGPTUSD,2026-09-01T00:00:00Z,2026-09-01T02:41:53Z,256869.0,0.01942057737,0.019448,-3.53589839015e-06,-3.678919104662e-06,0.01938,0.01947,86759.0,71596.0,0.0
PF_CHFUSD,2026-09-01T00:00:00Z,2026-09-01T02:41:53Z,204.0,1.23213557815,1.23522363724,-0.00123557466578,-0.00123520837965,1.19,1.24439,2000.0,15.0,0.0
PF_CHILLGUYUSD,2026-09-01T00:00:00Z,2026-09-01T02:41:53Z,1079719.0,0.01151995963,0.011502,1.98060274295e-06,2.395286961462e-06,0.011486,0.011553,215434.0,95511.0,1570944.0
PF_CHZUSD,2026-09-01T00:00:00Z,2026-09-01T02:41:53Z,4839678.0,0.01329550824,0.0133177,-4.95956992372e-07,-2.150728922822e-06,0.013289,0.013308,3506.0,3406.0,690065.0
PF_CKBUSD,2026-09-01T00:00:00Z,2026-09-01T02:41:53Z,10497828.0,0.00104354536,0.00104523,-1.8275842076e-07,-1.99486374326e-07,0.0010399,0.001046,1683495.0,1600000.0,1441494.0
PF_COINXUSD,2026-09-01T00:00:00Z,2026-09-01T02:41:53Z,695.11,185.96001989539,185.97,-0.00158425455625,-0.0026375305363917,185.76,186.14,3.2,3.01,211.74
PF_COMPUSD,2026-09-01T00:00:00Z,2026-09-01T02:41:53Z,10009.0,19.10169346549,19.108,-2.264688400006e-06,-0.0006855825901541,19.061,19.123,2.5,2.5,4427.7
PF_COOKIEUSD,2026-09-01T00:00:00Z,2026-09-01T02:41:53Z,1763775.0,0.01195193745,0.011948,-4.1072262e-07,6.55452387712e-07,0.011923,0.011982,97115.0,97115.0,677411.0
PF_COTIUSD,2026-09-01T00:00:00Z,2026-09-01T02:41:53Z,1909457.0,0.01319815331,0.0132245,6.38105200375e-07,-3.403512954999e-06,0.013166,0.013243,3502.0,3478.0,1995898.0
PF_COWUSD,2026-09-01T00:00:00Z,2026-09-01T02:41:53Z,29738.0,0.122053813,0.122294,-1.9738981645942e-05,-3.0711326357117e-05,0.12173,0.12238,12781.0,12000.0,1239.0
PF_CRCLXUSD,2026-09-01T00:00:00Z,2026-09-01T02:41:53Z,7277.69,94.19499574756,94.148,0.0071692634439999,0.006884952558,94.16,94.22,8.51,10.61,19059.04
PF_CROUSD,2026-09-01T00:00:00Z,2026-09-01T02:41:53Z,629970.0,0.05598346772,0.05597,3.6435994929e-08,9.65174157033e-07,0.05591,0.05608,26300.0,14220.0,100160.0
PF_CRVUSD,2026-09-01T00:00:00Z,2026-09-01T02:41:53Z,7219378.0,0.35090008275,0.35084,2.2500066607958e-05,9.742601677667e-06,0.3506,0.351,575.0,3.0,8290761.0
PF_CSPRUSD,2026-09-01T00:00:00Z,2026-09-01T02:41:53Z,2286260.0,0.00273869387,0.0027531,-1.602430776907e-06,-1.766971734524e-06,0.002737,0.002746,18176.0,382342.0,1244205.0
PF_CTSIUSD,2026-09-01T00:00:00Z,2026-09-01T02:41:53Z,589026.0,0.02483458794,0.02488,-7.766305259875e-06,-7.5006705515e-06,0.02476,0.025,225.0,75605.0,7558.0
