symbol,timestamp,funding_rate,relative_funding_rate
PF_XBTUSD,2025-08-27T21:00:00Z,2.1438226972324874,1.9070161111111e-05
PF_ETHUSD,2025-08-27T22:00:00Z,0.07311661988691717,1.6161726388889e-05
PF_SOLUSD,2025-08-27T22:00:00Z,-0.0060434979873075,-2.94035125e-05
PF_XBTUSD,2025-08-27T22:00:00Z,1.7229020395974182,1.5448648611111e-05
PF_ETHUSD,2025-08-27T23:00:00Z,0.054678139485835345,1.2087680555556e-05
PF_SOLUSD,2025-08-27T23:00:00Z,-0.002032021405281341,-9.945868055556e-06
PF_XBTUSD,2025-08-27T23:00:00Z,1.715213485884625,1.53932125e-05
PF_ETHUSD,2025-08-28T00:00:00Z,0.05030398747336011,1.1163134722222e-05
PF_SOLUSD,2025-08-28T00:00:00Z,-0.000458248814642451,-2.258468055556e-06
PF_XBTUSD,2025-08-28T00:00:00Z,1.587955360334963,1.4272383333333e-05
PF_ETHUSD,2025-08-28T01:00:00Z,0.0666651677719985,1.4839808333333e-05
PF_SOLUSD,2025-08-28T01:00:00Z,-0.00073441909986375,-3.6023875e-06
PF_XBTUSD,2025-08-28T01:00:00Z,1.5271851582044198,1.3715622222222e-05
PF_ETHUSD,2025-08-28T02:00:00Z,0.069923043434751,1.5480865277778e-05
PF_SOLUSD,2025-08-28T02:00:00Z,-0.000997664729369144,-4.845323611111e-06
PF_XBTUSD,2025-08-28T02:00:00Z,1.6584225537630803,1.4852652777778e-05
PF_ETHUSD,2025-08-28T03:00:00Z,0.061840954086665165,1.3705733333333e-05
PF_SOLUSD,2025-08-28T03:00:00Z,-0.001302472824154098,-6.315270833333e-06
PF_XBTUSD,2025-08-28T03:00:00Z,1.535639883492,1.3771725e-05
PF_ETHUSD,2025-08-28T04:00:00Z,0.033720515429625,7.4246625e-06
PF_SOLUSD,2025-08-28T04:00:00Z,-0.000534092298183241,-2.566194444444e-06
PF_XBTUSD,2025-08-28T04:00:00Z,1.381484074467579,1.2332304166667e-05
PF_ETHUSD,2025-08-28T05:00:00Z,0.03708946795659925,8.113993055556e-06
PF_SOLUSD,2025-08-28T05:00:00Z,2.7769416034675e-05,1.30984722222e-07
PF_XBTUSD,2025-08-28T05:00:00Z,1.8549865278703763,1.6418198611111e-05
PF_ETHUSD,2025-08-28T06:00:00Z,0.03742116812247324,8.187615277778e-06
PF_SOLUSD,2025-08-28T06:00:00Z,-0.000683723016468103,-3.230640277778e-06
PF_XBTUSD,2025-08-28T06:00:00Z,2.1653383949825455,1.9185570833333e-05
PF_ETHUSD,2025-08-28T07:00:00Z,0.03240636069955352,7.068956944444e-06
PF_SOLUSD,2025-08-28T07:00:00Z,-3.59233716064e-07,-1.697222222e-09
