id,rule,base,context,ticker,n_events,n,win_pct,stop_pct,net_all,net_counted,ex_best,folds_pos,folds_counted,total_R,maxDD_R,worst_streak
42,donchian10+none,donchian10,none,ETH,118,132,33.33333333333333,66.66666666666666,-0.023757575757575724,-0.023757575757575713,-0.04179090909090905,2,4,-3.135999999999996,16.783,15
43,donchian10+above_sma200,donchian10,above_sma200,ETH,52,55,30.909090909090907,69.0909090909091,-0.0971090909090909,,,1,2,-5.340999999999996,22.965999999999994,11
44,donchian10+btc_above_sma200,donchian10,btc_above_sma200,ETH,41,43,16.27906976744186,83.72093023255815,-0.5384651162790698,,,0,2,-23.153999999999996,27.012999999999998,15
45,donchian10+lowvol,donchian10,lowvol,ETH,64,69,37.68115942028986,62.31884057971014,0.10379710144927543,0.1037971014492754,0.07400000000000004,3,4,7.162000000000004,16.485,12
46,donchian20+none,donchian20,none,ETH,84,92,30.434782608695656,69.56521739130434,-0.10960869565217388,-0.10960869565217388,-0.2191923076923077,2,4,-10.083999999999996,19.148999999999997,12
47,donchian20+above_sma200,donchian20,above_sma200,ETH,39,41,24.390243902439025,75.60975609756098,-0.29275609756097554,,,0,2,-12.003,19.722,12
48,donchian20+btc_above_sma200,donchian20,btc_above_sma200,ETH,31,33,15.151515151515152,84.84848484848484,-0.5713030303030302,,,0,2,-18.852999999999998,22.711999999999996,16
49,donchian20+lowvol,donchian20,lowvol,ETH,46,49,32.6530612244898,67.3469387755102,-0.046408163265306085,-0.046408163265306106,-0.18182051282051281,2,4,-2.273999999999998,14.520999999999999,10
50,donchian55+none,donchian55,none,ETH,60,66,28.78787878787879,71.21212121212122,-0.15704545454545452,-0.12019999999999992,-0.42647999999999997,1,3,-10.364999999999998,20.146,12
51,donchian55+above_sma200,donchian55,above_sma200,ETH,31,33,24.242424242424242,75.75757575757575,-0.2964242424242424,,,0,2,-9.782,17.559,10
52,donchian55+btc_above_sma200,donchian55,btc_above_sma200,ETH,26,28,14.285714285714285,85.71428571428571,-0.5960714285714285,,,0,1,-16.69,20.549,20
53,donchian55+lowvol,donchian55,lowvol,ETH,33,35,28.57142857142857,71.42857142857143,-0.16674285714285708,,,0,1,-5.835999999999999,16.61,14
54,emacross9_21+none,emacross9_21,none,ETH,22,23,34.78260869565217,65.21739130434783,0.01565217391304355,,,0,0,0.36000000000000076,5.176,5
55,emacross9_21+above_sma200,emacross9_21,above_sma200,ETH,9,9,22.22222222222222,77.77777777777779,-0.3603333333333333,,,0,0,-3.2430000000000003,4.2090000000000005,3
56,emacross9_21+btc_above_sma200,emacross9_21,btc_above_sma200,ETH,7,7,14.285714285714285,85.71428571428571,-0.6012857142857143,,,0,0,-4.2090000000000005,3.1850000000000005,3
57,emacross9_21+lowvol,emacross9_21,lowvol,ETH,10,10,30.0,70.0,-0.13099999999999995,,,0,0,-1.3099999999999992,4.25,3
58,emacross20_50+none,emacross20_50,none,ETH,11,11,36.36363636363637,63.63636363636363,0.061818181818181876,,,0,0,0.6800000000000006,4.169,3
59,emacross20_50+above_sma200,emacross20_50,above_sma200,ETH,4,4,25.0,75.0,-0.28325,,,0,0,-1.133,2.074,3
60,emacross20_50+btc_above_sma200,emacross20_50,btc_above_sma200,ETH,3,3,33.33333333333333,66.66666666666666,-0.038333333333333254,,,0,0,-0.11499999999999977,1.0519999999999998,2
61,emacross20_50+lowvol,emacross20_50,lowvol,ETH,7,7,42.857142857142854,57.14285714285714,0.25242857142857145,,,0,0,1.7670000000000001,2.049,2
62,emacross50_200+none,emacross50_200,none,ETH,3,3,33.33333333333333,66.66666666666666,-0.026333333333333247,,,0,0,-0.07899999999999974,2.058,2
63,emacross50_200+above_sma200,emacross50_200,above_sma200,ETH,1,1,0.0,100.0,-1.031,,,0,0,-1.031,0.0,1
64,emacross50_200+btc_above_sma200,emacross50_200,btc_above_sma200,ETH,1,1,0.0,100.0,-1.031,,,0,0,-1.031,0.0,1
65,emacross50_200+lowvol,emacross50_200,lowvol,ETH,0,0,,,,,,0,0,,,0
66,pullback_sma100_ema10+none,pullback_sma100_ema10,none,ETH,60,66,25.757575757575758,74.24242424242425,-0.2546666666666666,-0.2650508474576271,-0.3344883720930232,0,3,-16.807999999999996,20.680999999999997,8
67,pullback_sma100_ema10+above_sma200,pullback_sma100_ema10,above_sma200,ETH,44,50,22.0,78.0,-0.36965999999999993,,,0,2,-18.482999999999993,18.434999999999995,7
68,pullback_sma100_ema10+btc_above_sma200,pullback_sma100_ema10,btc_above_sma200,ETH,39,45,22.22222222222222,77.77777777777779,-0.36468888888888884,,,0,2,-16.410999999999998,17.317999999999998,7
69,pullback_sma100_ema10+lowvol,pullback_sma100_ema10,lowvol,ETH,40,45,24.444444444444443,75.55555555555556,-0.29771111111111104,,,0,2,-13.397,16.329,7
70,pullback_sma100_ema20+none,pullback_sma100_ema20,none,ETH,33,39,28.205128205128204,71.7948717948718,-0.18156410256410252,,,0,2,-7.080999999999999,12.913999999999998,11
71,pullback_sma100_ema20+above_sma200,pullback_sma100_ema20,above_sma200,ETH,25,29,20.689655172413794,79.3103448275862,-0.4087586206896551,,,0,2,-11.853999999999996,14.741999999999996,14
72,pullback_sma100_ema20+btc_above_sma200,pullback_sma100_ema20,btc_above_sma200,ETH,24,28,21.428571428571427,78.57142857142857,-0.3871785714285715,,,0,2,-10.840999999999998,14.632999999999997,14
73,pullback_sma100_ema20+lowvol,pullback_sma100_ema20,lowvol,ETH,25,30,30.0,70.0,-0.12986666666666663,,,0,1,-3.895999999999999,9.306,8
74,pullback_sma200_ema10+none,pullback_sma200_ema10,none,ETH,47,53,22.641509433962266,77.35849056603774,-0.35186792452830185,,,0,2,-18.649,18.601,7
75,pullback_sma200_ema10+above_sma200,pullback_sma200_ema10,above_sma200,ETH,47,53,22.641509433962266,77.35849056603774,-0.35186792452830185,,,0,2,-18.649,18.601,7
76,pullback_sma200_ema10+btc_above_sma200,pullback_sma200_ema10,btc_above_sma200,ETH,41,47,23.404255319148938,76.59574468085107,-0.3311063829787234,,,0,2,-15.561999999999998,16.468999999999998,7
77,pullback_sma200_ema10+lowvol,pullback_sma200_ema10,lowvol,ETH,32,37,24.324324324324326,75.67567567567568,-0.30556756756756753,,,0,2,-11.306,12.213,7
78,pullback_sma200_ema20+none,pullback_sma200_ema20,none,ETH,28,32,21.875,78.125,-0.3726875,,,0,2,-11.925999999999995,15.785999999999994,14
79,pullback_sma200_ema20+above_sma200,pullback_sma200_ema20,above_sma200,ETH,28,32,21.875,78.125,-0.3726875,,,0,2,-11.925999999999995,15.785999999999994,14
80,pullback_sma200_ema20+btc_above_sma200,pullback_sma200_ema20,btc_above_sma200,ETH,25,29,20.689655172413794,79.3103448275862,-0.40962068965517245,,,0,2,-11.878999999999998,15.670999999999998,14
81,pullback_sma200_ema20+lowvol,pullback_sma200_ema20,lowvol,ETH,19,22,22.727272727272727,77.27272727272727,-0.35077272727272724,,,0,1,-7.716999999999999,10.604999999999999,8
82,rsi14_exit25+none,rsi14_exit25,none,ETH,4,4,25.0,75.0,-0.27974999999999994,,,0,0,-1.1189999999999998,3.1079999999999997,3
83,rsi14_exit25+above_sma200,rsi14_exit25,above_sma200,ETH,0,0,,,,,,0,0,,,0
84,rsi14_exit25+btc_above_sma200,rsi14_exit25,btc_above_sma200,ETH,0,0,,,,,,0,0,,,0
