n_events,seed,BTC_net,BTC_ex,BTC_n,ETH_net,ETH_ex,ETH_n,SOL_net,SOL_ex,SOL_n
80,53,0.017090909090909146,-0.17001666666666662,88,-0.07362500000000001,-0.2047246376811594,88,-0.3016363636363636,-0.40942028985507245,88
80,54,-0.13936904761904761,-0.272111111111111,84,-0.16819047619047617,-0.45614285714285707,84,-0.2326547619047619,-0.23489855072463767,84
80,55,-0.20025581395348838,-0.3591212121212121,86,-0.03269767441860465,-0.1424242424242424,86,-0.14865116279069762,-0.20183333333333328,86
80,56,-0.1047682926829268,-0.21755,82,0.07020731707317077,-0.029949999999999952,82,-0.03049999999999997,-0.1699833333333333,82
80,57,0.09080000000000002,-0.05648437499999996,85,0.33090588235294127,0.16567187500000002,85,0.3028352941176471,0.2946949152542374,85
80,58,-0.035858823529411714,-0.2471724137931034,85,-0.14445882352941172,-0.3568448275862069,85,-0.03171764705882344,-0.20390909090909087,85
80,59,-0.2552,-0.30612121212121207,85,-0.1777411764705882,-0.29052459016393434,85,-0.2809529411764706,-0.4333333333333333,85
80,60,-0.05895238095238095,-0.1588709677419354,84,-0.029059523809523775,-0.1515645161290323,84,0.007892857142857165,-0.10949999999999997,84
80,61,0.1892696629213484,0.032718309859154936,89,0.11734831460674164,0.09520312500000003,89,0.044988764044943855,-0.02031746031746028,89
80,62,-0.00010344827586203716,-0.15982608695652173,87,-0.061793103448275856,-0.23971014492753623,87,0.034977011494252884,-0.03726086956521731,87
80,63,0.2762352941176471,0.15926984126984137,85,0.21104705882352942,0.0695238095238095,85,0.3051764705882354,0.1276031746031747,85
80,64,-0.30109411764705885,-0.447703125,85,-0.11063529411764701,-0.28248437499999995,85,0.017164705882352988,-0.04831666666666663,85
80,65,-0.042317647058823474,-0.20244444444444445,85,-0.07094117647058817,-0.198536231884058,85,0.012294117647058818,-0.058301587301587285,85
80,66,0.3763953488372094,0.19296875000000002,86,0.5869186046511629,0.4906406250000001,86,0.36672093023255825,0.3266875,86
80,67,0.1331976744186047,0.03222222222222224,86,0.05593023255813954,-0.07233333333333332,86,0.15690697674418613,-0.0337575757575757,86
80,68,0.16837804878048784,-0.0348474576271186,82,-0.14780487804878045,-0.3165762711864406,82,-0.008390243902439023,-0.15420338983050846,82
80,69,-0.24251136363636358,-0.3632222222222223,88,-0.018659090909090844,-0.13443478260869562,88,-0.2916022727272727,-0.33241791044776114,88
80,70,-0.15411904761904757,-0.17579411764705877,84,-0.061404761904761844,-0.3006363636363636,84,-0.010892857142857093,-0.09069354838709671,84
80,71,0.083448275862069,0.04674193548387096,87,0.1482873563218391,0.08101538461538464,87,0.27112643678160925,0.15985483870967745,87
80,72,-0.22607058823529416,-0.33559375,85,0.028176470588235306,-0.15740677966101688,85,0.02970588235294124,-0.06424242424242421,85
80,73,-0.0473176470588235,-0.18391228070175433,85,-0.1472588235294117,-0.24846153846153837,85,0.10254117647058827,-0.044850746268656726,85
80,74,-0.24046987951807225,-0.37776271186440674,83,-0.12371084337349392,-0.1658305084745762,83,-0.037385542168674686,-0.10823809523809522,83
80,75,-0.05864285714285712,-0.18709374999999998,84,-0.06345238095238091,-0.2930327868852459,84,-0.009238095238095208,-0.13404918032786878,84
80,76,0.0035060240963855306,-0.06590624999999996,83,-0.08902409638554214,-0.20138461538461538,83,0.2128072289156627,0.0022881355932204256,83
80,77,0.0034216867469879604,-0.09453030303030299,83,0.09271084337349397,0.04771186440677973,83,0.06833734939759041,-0.03372413793103449,83
80,78,-0.09760465116279068,-0.15524999999999997,86,0.09054651162790708,-0.09139062499999996,86,0.253593023255814,0.12235593220338985,86
80,79,-0.2289310344827586,-0.3915161290322581,87,-0.09650574712643677,-0.2068709677419355,87,0.16393103448275861,0.15619354838709681,87
80,80,0.010447058823529436,-0.11870312499999996,85,-0.14399999999999993,-0.2586190476190476,85,-0.07524705882352938,-0.11067187499999993,85
