timestamp_utc,ticker,price,initial_score,gated_score,indicator_final_score,final_score,decision,direction,vix_level,gate_decision,gate_multiplier,target_price,stop_price,atr,risk_reward,ml_confidence
2026-07-27T08:01:20.893191,BTC,65239.31,61.34,61.34,55.97756770833333,59.2,WATCH,WATCH,17.739999771118164,PROCEED,1.0,,,413.8959116203202,,65.13406372070312
2026-07-27T08:31:09.576785,BTC,65219.55,61.34,61.34,55.97756770833333,59.2,WATCH,WATCH,17.729999542236328,PROCEED,1.0,,,418.8309116203204,,65.13406372070312
2026-07-27T09:01:25.511321,BTC,65120.91,61.93,61.93,54.90559999999999,59.12,WATCH,WATCH,17.6200008392334,PROCEED,1.0,,,422.6137687631775,,57.37845230102539
2026-07-27T09:31:03.994637,BTC,65222.29,61.34,61.34,55.97756770833333,59.2,WATCH,WATCH,17.639999389648438,PROCEED,1.0,,,422.9466259060349,,65.13406372070312
2026-07-27T10:01:26.196154,BTC,65272.76,60.16,60.16,55.97756770833333,58.49,WATCH,WATCH,17.59000015258789,PROCEED,1.0,,,425.23591162032085,,65.13406372070312
2026-07-27T10:31:15.368673,BTC,65380.17,57.81,57.81,55.909797569444436,57.05,WATCH,WATCH,17.59000015258789,PROCEED,1.0,,,430.1180544774636,,50.826560974121094
2026-07-27T10:58:59.280470,BTC,65347.18,58.4,58.4,55.64665520833333,57.3,WATCH,WATCH,17.56999969482422,PROCEED,1.0,,,432.2159116203209,,51.716529846191406
2026-07-27T11:01:24.358852,BTC,65309.0,60.16,60.16,55.83089479166666,58.43,WATCH,WATCH,17.579999923706055,PROCEED,1.0,,,432.2159116203209,,65.13406372070312
2026-07-27T11:31:07.488134,BTC,65136.48,61.93,61.93,54.4916,58.95,WATCH,WATCH,17.65999984741211,PROCEED,1.0,,,432.2159116203209,,65.13406372070312
2026-07-27T12:01:24.995153,BTC,65128.47,65.62,65.62,54.761275,61.28,BUY,BUY,17.719999313354492,PROCEED,1.0,66339.1,64523.15,403.54,2.0,63.934600830078125
2026-07-27T12:31:20.593799,BTC,64997.65,67.38,67.38,54.25601770833333,62.13,BUY,BUY,17.8799991607666,PROCEED,1.0,66256.56,64368.2,419.64,2.0,52.0948600769043
2026-07-27T13:01:32.317051,BTC,65074.64,66.79,66.79,54.820244444444434,62.0,BUY,BUY,17.729999542236328,PROCEED,1.0,66364.33,64429.8,429.9,2.0,54.422969818115234
2026-07-27T13:31:19.657987,BTC,64991.49,67.38,67.38,54.3977392361111,62.19,BUY,BUY,17.709999084472656,PROCEED,1.0,66281.18,64346.65,429.9,2.0,53.12580490112305
2026-07-27T14:01:25.416451,BTC,65232.9,64.44,64.44,55.97756770833333,61.06,BUY,BUY,18.18000030517578,PROCEED,1.0,66620.77,64538.96,462.62,2.0,62.980918884277344
2026-07-27T14:31:13.700559,BTC,64653.36,67.97,67.97,53.39603333333333,62.14,BUY,BUY,18.68000030517578,PROCEED,1.0,66093.21,63933.44,479.95,2.0,34.44812774658203
2026-07-27T15:01:28.281315,BTC,64715.04,67.97,67.97,52.599825952675154,61.82,BUY,BUY,19.770000457763672,PROCEED,1.0,66184.45,63980.33,489.8,2.0,46.9348030090332
2026-07-27T15:31:13.010126,BTC,64641.71,67.97,67.97,53.67318333333333,62.25,BUY,BUY,19.079999923706055,PROCEED,1.0,66111.12,63907.0,489.8,2.0,38.39824676513672
2026-07-27T16:01:29.444973,BTC,64577.68,69.9,69.9,53.54848210914694,63.36,BUY,BUY,19.520000457763672,PROCEED,1.0,65953.19,63889.92,458.5,2.0,32.132633209228516
2026-07-27T16:31:15.993085,BTC,64824.41,69.9,69.9,53.78540693370806,63.45,BUY,BUY,19.43000030517578,PROCEED,1.0,66258.91,64107.16,478.17,2.0,43.27842712402344
2026-07-27T17:01:33.334882,BTC,64952.44,69.31,69.31,54.67926562499999,63.46,BUY,BUY,19.18000030517578,PROCEED,1.0,66418.73,64219.29,488.76,2.0,37.30023956298828
2026-07-27T17:22:34.207284,BTC,65038.82,69.31,69.31,54.2955038206144,63.3,BUY,BUY,19.600000381469727,PROCEED,1.0,66519.27,64298.6,493.48,2.0,47.071998596191406
2026-07-27T17:31:12.603100,BTC,64994.3,69.31,69.31,54.28751338910774,63.3,BUY,BUY,19.540000915527344,PROCEED,1.0,66475.78,64253.56,493.83,2.0,47.071998596191406
2026-07-27T18:01:30.663015,BTC,65053.46,69.31,69.31,54.24806468447834,63.29,BUY,BUY,19.420000076293945,PROCEED,1.0,66543.37,64308.5,496.64,2.0,43.4136848449707
2026-07-27T18:31:17.248594,BTC,64942.56,69.31,69.31,54.36527051919927,63.33,BUY,BUY,19.309999465942383,PROCEED,1.0,66432.47,64197.6,496.64,2.0,37.30023956298828
2026-07-27T19:01:35.343461,BTC,64850.0,69.9,69.9,53.6171044728864,63.39,BUY,BUY,19.260000228881836,PROCEED,1.0,66339.91,64105.04,496.64,2.0,38.39824676513672
2026-07-27T19:31:24.071389,BTC,64992.64,69.31,69.31,54.53882187499999,63.4,BUY,BUY,18.84000015258789,PROCEED,1.0,66482.55,64247.68,496.64,2.0,37.30023956298828
2026-07-27T20:01:29.078485,BTC,65038.1,70.65,70.65,55.14326666666666,64.45,BUY,BUY,18.829999923706055,PROCEED,1.0,66438.52,64337.89,466.81,2.0,38.52861022949219
